customer_name,table_number,customer_phone,bill_id,description,quantity,unit_price,tax_rate,discount
Randy Downs,4,990.887.3721,BILL-121187,Ice Cream Sundae,2,2516,0.18,8.33
Randy Downs,4,990.887.3721,BILL-121187,Orange Juice,3,2279,0.18,6.82
Randy Downs,4,990.887.3721,BILL-121187,Spaghetti Bolognese,1,804,0.18,4.88
Randy Downs,4,990.887.3721,BILL-121187,Margherita Pizza,4,3448,0.18,2.57
Randy Downs,4,990.887.3721,BILL-121187,Margherita Pizza,4,3448,0.18,6.59
Randy Downs,4,990.887.3721,BILL-121187,Veggie Burger,5,2975,0.18,1.66
Randy Downs,4,990.887.3721,BILL-121187,Spaghetti Bolognese,5,804,0.18,0.31
Randy Downs,4,990.887.3721,BILL-121187,Margherita Pizza,4,3448,0.18,6.78
Randy Downs,4,990.887.3721,BILL-121187,Pepperoni Pizza,3,2983,0.18,7.79
Alexis Grant,5,860.454.6231,BILL-765652,Coke,3,1411,0.18,5.82
Alexis Grant,5,860.454.6231,BILL-765652,Lemonade,1,2450,0.18,6.51
Alexis Grant,5,860.454.6231,BILL-765652,Cheeseburger,1,2889,0.18,6.0
Alexis Grant,5,860.454.6231,BILL-765652,Cheeseburger,4,2889,0.18,2.2
Alexis Grant,5,860.454.6231,BILL-765652,Orange Juice,4,2279,0.18,1.44
Alexis Grant,5,860.454.6231,BILL-765652,Pepperoni Pizza,3,2983,0.18,1.49
Alexis Grant,5,860.454.6231,BILL-765652,Chocolate Cake,4,3166,0.18,1.7
Alexis Grant,5,860.454.6231,BILL-765652,Pasta Alfredo,2,1430,0.18,2.57
Alexis Grant,5,860.454.6231,BILL-765652,Coke,2,1411,0.18,8.06
Alexis Grant,5,860.454.6231,BILL-765652,Lemonade,4,2450,0.18,7.25
Alexis Grant,5,860.454.6231,BILL-765652,Spaghetti Bolognese,5,804,0.18,5.11
Daniel Fowler,17,+1-498-218-7164,BILL-478673,Pasta Alfredo,5,1430,0.18,3.9
Daniel Fowler,17,+1-498-218-7164,BILL-478673,Caesar Salad,4,1384,0.18,0.69
Daniel Fowler,17,+1-498-218-7164,BILL-478673,Grilled Chicken,2,1555,0.18,5.44
Daniel Fowler,17,+1-498-218-7164,BILL-478673,Chocolate Cake,2,3166,0.18,2.81
Daniel Fowler,17,+1-498-218-7164,BILL-478673,Cheeseburger,1,2889,0.18,5.97
Daniel Fowler,17,+1-498-218-7164,BILL-478673,Margherita Pizza,4,3448,0.18,1.61
Daniel Fowler,17,+1-498-218-7164,BILL-478673,Cheeseburger,1,2889,0.18,4.84
Daniel Fowler,17,+1-498-218-7164,BILL-478673,Veggie Burger,5,2975,0.18,6.11
Daniel Fowler,17,+1-498-218-7164,BILL-478673,Margherita Pizza,4,3448,0.18,3.88
Daniel Fowler,17,+1-498-218-7164,BILL-478673,Ice Cream Sundae,4,2516,0.18,2.35
Daniel Fowler,17,+1-498-218-7164,BILL-478673,Caesar Salad,4,1384,0.18,3.1
Amanda Parks,5,490.503.5920,BILL-410921,Ice Cream Sundae,2,2516,0.18,1.9
Amanda Parks,5,490.503.5920,BILL-410921,Orange Juice,5,2279,0.18,4.47
Amanda Parks,5,490.503.5920,BILL-410921,Grilled Chicken,1,1555,0.18,3.79
Amanda Parks,5,490.503.5920,BILL-410921,Coke,2,1411,0.18,6.59
Amanda Parks,5,490.503.5920,BILL-410921,Orange Juice,1,2279,0.18,7.01
Amanda Parks,5,490.503.5920,BILL-410921,Pepperoni Pizza,5,2983,0.18,4.8
Amanda Parks,5,490.503.5920,BILL-410921,Spaghetti Bolognese,3,804,0.18,4.24
Amanda Parks,5,490.503.5920,BILL-410921,Grilled Chicken,5,1555,0.18,9.64
Amanda Parks,5,490.503.5920,BILL-410921,Spaghetti Bolognese,3,804,0.18,5.29
Amanda Parks,5,490.503.5920,BILL-410921,Caesar Salad,5,1384,0.18,7.9
Amanda Parks,5,490.503.5920,BILL-410921,Pepperoni Pizza,4,2983,0.18,5.53
John Cook,14,001-205-309-9366,BILL-155690,Margherita Pizza,5,3448,0.18,1.85
John Cook,14,001-205-309-9366,BILL-155690,Veggie Burger,3,2975,0.18,3.28
John Cook,14,001-205-309-9366,BILL-155690,Lemonade,3,2450,0.18,5.47
John Cook,14,001-205-309-9366,BILL-155690,Spaghetti Bolognese,3,804,0.18,5.47
John Cook,14,001-205-309-9366,BILL-155690,Margherita Pizza,2,3448,0.18,1.16
John Cook,14,001-205-309-9366,BILL-155690,Pepperoni Pizza,1,2983,0.18,9.44
John Cook,14,001-205-309-9366,BILL-155690,Coke,4,1411,0.18,0.31
John Cook,14,001-205-309-9366,BILL-155690,Veggie Burger,4,2975,0.18,9.99
John Cook,14,001-205-309-9366,BILL-155690,Lemonade,5,2450,0.18,3.28
Matthew Miller,13,(557)752-2796,BILL-417621,Caesar Salad,5,1384,0.18,0.35
Matthew Miller,13,(557)752-2796,BILL-417621,Cheeseburger,4,2889,0.18,2.93
Matthew Miller,13,(557)752-2796,BILL-417621,Coke,3,1411,0.18,1.0
Matthew Miller,13,(557)752-2796,BILL-417621,Veggie Burger,3,2975,0.18,5.41
Matthew Miller,13,(557)752-2796,BILL-417621,Cheeseburger,4,2889,0.18,1.15
Matthew Miller,13,(557)752-2796,BILL-417621,Cheeseburger,2,2889,0.18,2.39
Matthew Miller,13,(557)752-2796,BILL-417621,Lemonade,5,2450,0.18,8.09
Matthew Miller,13,(557)752-2796,BILL-417621,Caesar Salad,2,1384,0.18,4.96
Matthew Miller,13,(557)752-2796,BILL-417621,Margherita Pizza,1,3448,0.18,6.28
Matthew Miller,13,(557)752-2796,BILL-417621,Coke,2,1411,0.18,1.17
Matthew Miller,13,(557)752-2796,BILL-417621,Cheeseburger,2,2889,0.18,2.29
